Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/Аминокислоты;4140;"Arginine liquid 1000 ml.";4140;СК-021243;шт;500;руб;;;;;;;;;;;;нет;0;0
"Категории/Предтренировочные комплексы";4141;Guarana;4141;ПРЕД-021244;шт;390;руб;;;;;;;;;;;;нет;0;0
"Категории/Предтренировочные комплексы";4142;Guarana;4142;ПРЕД-021245;шт;0;руб;;;;;;;;;;;;нет;0;0
"Категории/Специальные добавки";4144;"Peanut butter 500 г";4144;СП-021246;шт;225;руб;;;;;;;;;;;;нет;0;0
Категории/Аминокислоты;4146;AAKG;4146;АМ-021450;шт;250;руб;;;;;;;;;;;;нет;0;0
Категории/Креатин;4147;"Creatine 2500 300 капс.";4147;КР-021451;шт;725;руб;;;;;;;"Creatine 2500 Caps представляет собой готовую к применению капсульную форму чистейшей фракции креатина. ";;;;;нет;0;0
Категории/Креатин;4148;"Сreatine ultra pure";4148;КР-021452;шт;0;руб;;;;;;;;;;;;нет;0;0
Категории/Протеин;4149;"Hyper Matrix 2.27 кг";4149;ПР-021453;шт;1075;руб;;;;;;;" ";;;;;нет;0;0
"Категории/Витамины и минералы";4150;"Garlicin 30 капс.";4150;ВИТ-021454;шт;100;руб;;;;;;;;;;;;нет;0;0
"Категории/Повышение тестостерона";4151;"Tribuactive B6 90 капс";4151;ТЕ-021457;шт;0;руб;;;;;;;;;;;;нет;0;0
Категории/Креатин;4152;"Creatine HCL";4152;КР-021455;шт;215;руб;;;;;;;;;;;;нет;0;0
Категории/Протеин;4153;"Elite XT 0.9 кг";4153;ПР-021248;шт;550;руб;;;;;;;"Многокомпонентная смесь Elite XT разработана как эффективное средство для восстановления после тренировки и поддержания тонуса! В Dymatize уверены, что эта смесь - лучший источник «медленного» протеина. Доказано, что Elite XT создает идеальную анаболическую среду, насыщенную азотом.";;;;;нет;0;0
Категории/Протеин;4154;"Muscle infusion black";4154;ПР-021249;шт;725;руб;;;;;;;"Потрясающий комплекс способствующий ускоренному росту мышечной ткани, благодаря своему уникальному составу и новейшим технологиям.";;;;;нет;0;0
Категории/Изотоники;4155;"HOT Sport Isotonic Drink";4155;AK-021250;шт;425;руб;;;;;;;"Hot Sport Isotonic Drink является одним из лучших из представленных на рынке изотонических напитков для спортсменов и просто активных людей.";;;;;нет;0;0
Категории/BCAA;4156;"BCAA 1000 XXL";4156;ВСА-021251;шт;425;руб;;;;;;;"BCAA 1000 XXL - набор востребованных аминокислот с широким профилем действий, созданных для поддержания здоровой жизнедеятельности организма спортсмена. Незаменим при наборе мышечной массы, регенерации мышц и снижении уровня жировых отложений.";;;;;нет;0;0
Категории/Протеин;4157;"Isobolic 2.27 кг.";4157;ПР-021252;шт;1499;руб;;;;;;;"Протеиновый комплекс IsoBolic – добавка премиум класса, многоступенчатая белковая матрица, разработанная для потребностей профессиональных атлетов – постоянного роста мускулатуры и восстановления!";;;;;нет;0;0
Категории/BCAA;4158;"BCAA 5000";4158;BCA-021254;шт;700;руб;;;;;;;"BCAA 5000 Powder является оптимизированным витаминным комплексом в основе которого лежит известная ВСАА группа аминокислот: изолецин, валин, лейцин. ";;;;;нет;0;0
Категории/Гейнер;4159;"Hyper gain 5.4 кг";4159;ГН-021255;шт;1050;руб;;;;;;;;;;;;нет;0;0
Категории/Изотоники;4160;"Vitarade electrolyte";4160;ЭН-021256;шт;400;руб;;;;;;;;;;;;нет;0;0
"Категории/Витамины и минералы";4161;"Mens arginmax 90 tabs";4161;ВИТ-021257;шт;238;руб;;;;;;;;;;;;нет;0;0
Категории/Аминокислоты;4162;"Beta-alanine 75serv 263 г";4162;АМ-021258;шт;375;руб;;;;;;;"Аминокислотный комплекс Beta-Alanine  – это высокоэффективный бета-аланин, чья задача – перейти порог утомления и стимулировать достижение максимального результата при анаэробных нагрузках.";;;;;нет;0;0
Категории/Батончики;4163;"Whey crisp bar 65 г";4163;БАТ-021259;шт;55;руб;;;;;;;;;;;;нет;0;0
Категории/Изотоники;4165;"Low Carb sportsdrink";4165;ЭН-021260;шт;175;руб;;;;;;;;;;;;нет;0;0
"Категории/Витамины и минералы";4166;"Calcium complete";4166;ВИТ-021261;шт;0;руб;;;;;;;" ";;;;;нет;0;0
"Категории/Повышение тестостерона";4167;"Tribulus 1000mg";4167;ТЕ-021622;шт;0;руб;;;;;;;"Пищевая добавка Tribulus 1000 – препарат в форме капсул, изготовленный из натуральных компонентов и являющийся самой мощной добавкой для увеличения мышечной массы и силы без гормонального воздействия.";;;;;нет;0;0
"Категории/Повышение тестостерона";4168;"Tribulus 500mg";4168;ТЕ-021623;шт;0;руб;;;;;;;"Пищевая добавка Tribulus 500 – препарат в форме капсул, изготовленный из натуральных компонентов и являющийся самой мощной добавкой для увеличения мышечной массы и силы без гормонального воздействия.";;;;;нет;0;0
"Категории/Витамины и минералы";4169;Calcium-magnesium;4169;ВИТ-021264;шт;200;руб;;;;;;;"Пищевая добавка Calcium-Magnesium – продукт на основе кальция и магния, для активного долголетия. Вы физически активны? Ведете здоровый образ жизни? Тогда эта пищевая добавка поможет вам достичь целей!";;;;;нет;0;0
"Категории/Витамины и минералы";4170;CO-Q10;4170;ВИТ-021265;шт;200;руб;;;;;;;"Пищевая добавка CO-Q10 – коэнзим Q-10, разработанный для активного долголетия. Один из мощнейших антиоксидантов и стимуляторов всего организма. Получите максимум для здоровья!";;;;;нет;0;0
"Категории/Витамины и минералы";4172;"Selenium 50 mcg";4172;ВИТ-021266;шт;125;руб;;;;;;;;;;;;нет;0;0
Категории/Гейнер;4174;Carbox;4174;ГН-021267;шт;275;руб;;;;;;;"Carbox - высокоэффективная сложноуглеводная добавка, основное воздействие которой направлено на повышение энергетических ресурсов во время физических нагрузок спортсмена.";;;;;нет;0;0
Категории/Гейнер;4175;"Hyper Mass 5000 5 kg.";4175;ГН-021268;шт;1200;руб;;;;;;;"Hyper mass 5000 - мощный гейнер, включающий в свой состав креатин и молочный протеин, благодаря которым мышцы питаются на протяжении сравнительно долгого периода времени и процесс набора массы происходит в ускоренных ритмах.";;;;;нет;0;0
Категории/Протеин;4176;"Combat 4545 g.";4176;ПР-021269;шт;2800;руб;;;;;;;"Комплексная ультра-премиум протеиновая матрица для мышечного роста!";;;;;нет;0;0
